item,weight_kg,weight_lbs
sponge,0.798,1.759
soda can,1.334,2.941
garlic bulb,0.111,0.245
laptop,20.357,44.88
bathtub,347.502,766.111
charging dock,0.265,0.584
saucepan,0.346,0.763
flashcard,0.103,0.227
cargo van,548.924,1210.17
cucumber,0.198,0.437
binder clip,0.005,0.011
coffee maker,6.08,13.404
frying pan,1.31,2.888
peanut butter jar,1.568,3.457
granola bar,0.005,0.011
lawn mower,77.738,171.383
bowl,2.085,4.597
dress shirt,0.435,0.959
bulldozer,26425.507,58258.271
cereal box,0.501,1.105
baseball,0.559,1.232
hex key set,137.991,304.218
cement mixer truck,30602.568,67467.114
headphones,0.52,1.146
lemon,0.088,0.194
potato,0.032,0.071
cutting board,0.395,0.871
ladder stand,189.276,417.282
badminton racket,0.824,1.817
drill,8.219,18.12
carrot,0.046,0.101
mixing bowl,2.09,4.608
binder dividers,0.055,0.121
side table,12.765,28.142
grape,0.133,0.293
graph paper,0.063,0.139
scissors,1.162,2.562
printer,7.986,17.606
orange,0.169,0.373
notepad,0.161,0.355
hand soap bottle,4.899,10.8
three-ring binder,0.045,0.099
tennis ball,0.396,0.873
mouse,2.025,4.464
turkey,9.522,20.992
tomato,0.326,0.719
baseball glove,1.958,4.317
sugar packet,0.006,0.013
laundry detergent bottle,4.581,10.099
goat,21.369,47.111
bell pepper,0.035,0.077
lime,0.007,0.015
crib,8.281,18.256
remote control,0.916,2.019
shampoo bottle,2.068,4.559
extension cord,66.101,145.728
cauliflower,0.043,0.095
lettuce,0.005,0.011
pear,0.105,0.231
goose,142.095,313.266
backpack,3.644,8.034
yoga mat,0.558,1.23
hoodie,0.214,0.472
armchair,5.461,12.039
hand towel,2.743,6.047
envelope,0.194,0.428
wheelbarrow,22.212,48.969
broom,0.246,0.542
football,1.102,2.429
shoes,0.611,1.347
usb flash drive,0.214,0.472
chicken,11.995,26.444
socks,0.666,1.468
pillow,4.114,9.07
paper sheet,0.176,0.388
freight train,8117.188,17895.336
hot tub,2196.085,4841.539
book shelf,470.986,1038.346
tea bag,0.144,0.317
school bus,2358.091,5198.701
train car,30216.958,66616.989
submarine,28477.008,62781.056
salt packet,0.079,0.174
baseball bat,0.391,0.862
keyboard,0.484,1.067
monitor,21.797,48.054
shovel,168.868,372.29
push pin,0.042,0.093
helmet,2.162,4.766
shower curtain,2.182,4.81
cycling helmet,0.981,2.163
rabbit,26.888,59.278
apple,0.005,0.011
onion,0.049,0.108
hat,0.577,1.272
skateboard,3.621,7.983
coffee table,19.169,42.26
label sticker,0.099,0.218
sledgehammer,133.259,293.786
cabinet,642.813,1417.16
camera,0.207,0.456
textbook,8.354,18.417
step stool,7.591,16.735
tape roll,0.056,0.123
plate,0.377,0.831
pencil,0.059,0.13
bath towel,0.211,0.465
forklift,13942.06,30736.981
purse,0.62,1.367
projector,2.459,5.421
tow truck,572.052,1261.159
hockey puck,1.121,2.471
dog,46.698,102.951
bagel,0.183,0.403
coffee mug,3.685,8.124
smartwatch,1.331,2.934
spiral notebook,0.053,0.117
soccer ball,0.964,2.125
kitchen knife,0.921,2.03
ladder,46.958,103.525
index cards pack,1.31,2.888
desk,7.935,17.494
calculator,0.15,0.331
desk organizer,0.007,0.015
basketball,0.536,1.182
car seat,32.768,72.241
paint can,8.125,17.913
ruler,0.199,0.439
hand saw,46.222,101.902
webcam,0.494,1.089
vacuum cleaner,36.62,80.733
golf club,0.55,1.213
jump rope,0.225,0.496
pen,0.096,0.212
scrub brush,2.442,5.384
winter coat,3.497,7.71
usb cable,0.436,0.961
coffee bean,0.103,0.227
sleeping bag,42.532,93.767
ski,0.414,0.913
power bank,0.429,0.946
tripod,0.911,2.008
watermelon,0.005,0.011
measuring cup,2.639,5.818
colander,0.487,1.074
bluetooth speaker,1.27,2.8
tennis shoes,0.615,1.356
paper bookmark,0.02,0.044
snowboard,0.529,1.166
water bottle,0.307,0.677
dish soap bottle,0.591,1.303
coffee bag,0.205,0.452
cargo airplane,5400.159,11905.313
watering can,7.664,16.896
baseball cap,0.982,2.165
spoon,1.489,3.283
cooler,44.206,97.458
toaster oven,192.41,424.191
air purifier,43.244,95.337
level,6.34,13.977
jeans,1.261,2.78
celery,0.006,0.013
nightstand,80.043,176.465
space heater,53.057,116.971
sheep,58.1,128.089
garage door,1185.887,2614.433
suv,1078.851,2378.459
plum,0.188,0.414
rake,18.515,40.819
dish towel,2.934,6.468
paper stapler,0.195,0.43
stapler,0.024,0.053
t-shirt,1.133,2.498
soap bar,0.641,1.413
avocado,0.067,0.148
strawberries,0.315,0.694
milk carton,0.425,0.937
refrigerator,745.857,1644.333
toothbrush,0.014,0.031
dumbbell,0.325,0.717
bookshelf,181.386,399.888
paint brush,26.875,59.249
wolf,45.953,101.309
freezer chest,547.345,1206.689
patio table,260.964,575.327
phone charger,1.519,3.349
yogurt cup,0.003,0.007
toothpaste tube,1.573,3.468
blender,10.583,23.332
kettle,1.176,2.593
wifi extender,0.242,0.534
paper clip,0.001,0.002
whisk,0.306,0.675
frog,43.748,96.448
slow cooker,10.55,23.259
camp stove,12.755,28.12
hammer,11.654,25.693
calendar,0.102,0.225
deer,38.938,85.844
microphone,0.224,0.494
piano,709.758,1564.749
banana,0.005,0.011
sugar bag,0.694,1.53
pair of skates,2.803,6.18
eggs carton,0.712,1.57
game controller,24.264,53.493
office chair,192.105,423.519
mango,0.063,0.139
microwave,31.849,70.215
modem,1.336,2.945
pineapple,0.107,0.236
tent,67.947,149.797
golf ball,4.631,10.21
boxing gloves,0.276,0.608
sander,12.639,27.864
stroller,21.493,47.384
olive oil bottle,8.151,17.97
hdmi cable,1.979,4.363
e-reader,4.237,9.341
rubber band,0.107,0.236
juice bottle,0.822,1.812
kangaroo,85.0,187.393
puffin,20.0,44.092
hippopotamus,1500.0,3306.934
skunk,20.0,44.092
muskrat,20.0,44.092
manatee,20.0,44.092
koala,12.0,26.455
caribou,50.0,110.231
alpaca,20.0,44.092
tiger,220.0,485.017
cheetah,20.0,44.092
cougar,20.0,44.092
antelope,50.0,110.231
otter,20.0,44.092
gecko,5.0,11.023
penguin,30.0,66.139
baboon,20.0,44.092
crab,20.0,44.092
porcupine,20.0,44.092
walrus,1000.0,2204.623
albatross,20.0,44.092
wallaby,20.0,44.092
raven,1.2,2.646
newt,20.0,44.092
crane,20.0,44.092
salmon,5.0,11.023
manta ray,20.0,44.092
tuna,300.0,661.387
sea urchin,20.0,44.092
lobster,20.0,44.092
macaw,20.0,44.092
jellyfish,20.0,44.092
badger,20.0,44.092
robin,0.08,0.176
trout,20.0,44.092
hyena,20.0,44.092
lynx,20.0,44.092
chameleon,5.0,11.023
salamander,20.0,44.092
sea lion,250.0,551.156
leopard,20.0,44.092
crow,0.5,1.102
beaver,20.0,44.092
rhinoceros,2300.0,5070.632
weasel,20.0,44.092
orangutan,20.0,44.092
wombat,30.0,66.139
stork,20.0,44.092
flamingo,3.0,6.614
alligator,360.0,793.664
gorilla,20.0,44.092
reindeer,50.0,110.231
chimpanzee,20.0,44.092
crocodile,500.0,1102.311
shrimp,20.0,44.092
pelican,15.0,33.069
magpie,0.5,1.102
lion,190.0,418.878
halibut,20.0,44.092
parrot,20.0,44.092
giraffe,800.0,1763.698
seal,180.0,396.832
cockatoo,20.0,44.092
elephant,5000.0,11023.113
camel,20.0,44.092
llama,20.0,44.092
jaguar,20.0,44.092
sparrow,0.03,0.066
eel,20.0,44.092
zebra,350.0,771.618
starfish,20.0,44.092
heron,20.0,44.092
bobcat,20.0,44.092
cod,20.0,44.092
seagull,20.0,44.092
stingray,20.0,44.092
iguana,5.0,11.023
raccoon,20.0,44.092
