item,weight_kg,weight_lbs
mature giraffe,794.465,1751.495
average elephant,4787.455,10554.532
adult elephant,5597.132,12339.565
young elephant,5308.418,11703.057
fully grown elephant,5064.827,11166.032
wild elephant,5856.364,12911.073
healthy elephant,5929.425,13072.144
male elephant,4611.389,10166.373
female elephant,5452.755,12021.266
juvenile elephant,5033.536,11097.047
mature elephant,6105.11,13459.464
average kangaroo,92.189,203.241
adult kangaroo,78.514,173.094
young kangaroo,79.076,174.333
fully grown kangaroo,76.197,167.985
wild kangaroo,97.465,214.874
healthy kangaroo,79.726,175.766
male kangaroo,87.755,193.467
female kangaroo,84.353,185.967
juvenile kangaroo,88.694,195.538
mature kangaroo,87.648,193.231
average koala,12.877,28.388
adult koala,10.625,23.425
young koala,12.937,28.522
fully grown koala,11.282,24.874
wild koala,12.121,26.721
healthy koala,11.41,25.155
male koala,11.269,24.843
female koala,12.108,26.693
juvenile koala,11.872,26.172
mature koala,11.5,25.353
average penguin,32.205,71
adult penguin,30.817,67.94
young penguin,25.828,56.941
fully grown penguin,27.772,61.226
wild penguin,29.601,65.258
healthy penguin,33.749,74.404
male penguin,33.491,73.836
female penguin,30.41,67.043
juvenile penguin,25.631,56.507
mature penguin,32.505,71.662
average seal,97.832,215.683
adult seal,102.269,225.465
young seal,106.245,234.231
fully grown seal,103.967,229.208
wild seal,99.456,219.264
healthy seal,112.351,247.693
male seal,96.564,212.888
female seal,96.756,213.31
juvenile seal,110.557,243.737
mature seal,90.894,200.387
average sea lion,281.68,620.999
adult sea lion,329.702,726.869
young sea lion,260.945,575.285
fully grown sea lion,330.265,728.11
wild sea lion,317.516,700.003
healthy sea lion,293.954,648.057
male sea lion,280.772,618.997
female sea lion,325.266,717.088
juvenile sea lion,336.961,742.871
mature sea lion,267.842,590.49
average dolphin,198.705,438.069
adult dolphin,202.946,447.419
young dolphin,199.861,440.618
fully grown dolphin,189.844,418.535
wild dolphin,179.212,395.094
healthy dolphin,205.151,452.281
male dolphin,218.709,482.172
female dolphin,174.105,383.836
juvenile dolphin,183.801,405.212
mature dolphin,219.176,483.2
average orca,5872.636,12946.946
adult orca,5665.034,12489.263
young orca,4631.396,10210.481
fully grown orca,5760.61,12699.97
wild orca,6175.471,13614.584
healthy orca,6207.302,13684.758
male orca,5726.022,12623.718
female orca,4669.207,10293.838
juvenile orca,5954.141,13126.635
mature orca,4945.156,10902.203
average whale,31311.637,69030.343
adult whale,34070.205,75111.945
young whale,31911.99,70353.896
fully grown whale,26711.633,58889.07
wild whale,28132.436,62021.405
healthy whale,33761.98,74432.426
male whale,26847.57,59188.76
female whale,30995.507,68333.397
juvenile whale,29225.426,64431.036
mature whale,26950.619,59415.944
pencil,0.006,0.014
pen,0.009,0.02
piece of paper,0.005,0.01
notebook,0.342,0.753
textbook,1.097,2.419
eraser,0.018,0.04
chair,5.075,11.189
wooden table,20.969,46.23
sofa,48.406,106.717
bed,46.343,102.17
lamp,1.973,4.349
microwave oven,12.518,27.597
refrigerator,91.804,202.393
washing machine,69.854,154.002
laptop computer,1.74,3.837
television,9.748,21.492
bicycle,12.756,28.122
motorcycle,197.497,435.407
compact car,1209.288,2666.025
average car,1539.404,3393.804
SUV,2102.455,4635.119
pickup truck,2597.003,5725.411
school bus,14153.694,31203.555
city bus,12290.107,27095.047
train car,28579.48,63006.969
airplane,40413.402,89096.301
hammer,0.856,1.887
screwdriver,0.263,0.579
lawn mower,32.109,70.788
wheelbarrow,18.535,40.863
apple,0.17,0.376
banana,0.117,0.258
loaf of bread,0.628,1.385
carton of milk,0.964,2.125
water bottle,1.043,2.299
